caso,FILTRO_A,FILTRO_B,FILTRO_C,FILTRO_C2,NSE,NSE2,P1,P2,P3,P4,P7_5_4,P8_6,P9,P10,P11,P13_1,P13_2,P13_3,P13_4,P14_1,P14_2,P14_3,P14_4,P18,NPS_Alkofarma,NPS_Jemfarma,NPS_Erza,NPS_Casa_Grande,NPS_Coderal,NPS_CKF,NPS_Boreal,NPS_Portugal,NPS_Sanakol,NPS_Purol,NPS_Don_Emilio,NPS_Hersil,NPS_Alessi,NPS_NR,P20,P21,P22,P24_1_1,P24_1_2,P24_1_3,P24_1_4,P24_2_1,P24_2_2,P24_2_3,P24_2_4,P24_3_1,P24_3_2,P24_3_3,P24_3_4,P24_4_1,P24_4_2,P24_4_3,P24_4_4,P24_5_1,P24_5_2,P24_5_3,P24_5_4,P24_5_5,P24_6_1,P24_6_2,P24_6_3,P24_6_4,P24_7_1,P24_7_2,P24_7_3,P24_7_4,P24_7_5,P24_7_6,P24_8_1,P24_8_2,P24_8_3,P24_8_4,P24_9_1,P24_9_2,P24_9_3,P24_9_4,P24_10_1,P24_10_2,P24_10_3,P24_10_4,P24_11_1,P24_11_2,P24_11_3,P24_11_4,P24_11_5,P24_11_6,P24_12_1,P24_12_2,P24_12_3,P24_12_4,P25,P27_1,P27_2,P27_3,P27_4,P27_5,P27_6,P27_7,P27_8,P31_1,P31_2,P31_3,P31_4,P31_5,P31_6,P32_1_1,P32_2_1,P32_3_1,P32_3_2,P32_4_1,P32_5_1,P32_6_1,P32_6_2,P32_7_1,P32_7_2,P32_7_3,P32_8_1,P32_NR,P33_1,P33_2,P33_3,P33_4,P33_5,P33_6,P33_7,P33_8,P33_NR,P34_1,P34_2,P34_3,P34_4,P34_5,P34_6,P34_7,P34_8,P34_NR,p159v1,vpond,VPOND1,VPOND2,P5,P6,P7_1,P7_2,P7_3,P7_4,P7_5,P7_6,P8,P12,P15,P16,P17,P23,P26,P27,P28,P29,P30
67.0,No,Sí,20.0,18 a 24 años,NSE B2,B2,Masculino,Carabayllo,Trabajador independiente,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de cadena,4. Satisfecho,Que el producto sea de calidad,Que tenga un precio accesible,Que sea fácil de encontrar en distintos establecimientos,Que esté en promoción/oferta,Que tenga un empaque práctico,Que sea la que siempre compran en mi casa,Que tenga trayectoria,Que se venda en puntos de venta de confianza,Portugal,6,,,,,,,7,,,,,,,Alkofarma,Portugal,Ninguno [NN,Alkofarma,Portugal,,,Alkofarma,Portugal,,,Portugal,Otras marcas,,,Portugal,,,,Alkofarma,,,,,Alkofarma,Portugal,,,Alkofarma,Portugal,,,,,Portugal,,,,Alkofarma,Portugal,,,Alkofarma,Portugal,,,Portugal,,,,,,Alkofarma,Portugal,,,Sí,Bicarbonato de sodio,Agua oxigenada,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol yodado,Alcohol en gel,,,Alcohol medicinal 70°,Alcohol en gel,,,,,,,,,Portugal,,,,Aval,,,,,,,,1000.0,,,380.0,,,,,,2,,,3,,,78,1.0,0.89314552,0.93333333,"Dispensador,Spray,Botella,Con pulverizador","Dispensador,Spray,Botella,Con chupón,Con pulverizador",Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies",Curar heridas,Desinfección de manos,Desinfección de objetos y superficies,,"Botica/Farmacia de mi barrio,Botica/Farmacia de cadena",Porque es fácil de encontrar,Portugal,"Alkofarma,Jemfarma,Boreal,Portugal,Sanakol","Alkofarma,Portugal",,Alcohol,"Bicarbonato de sodio,Agua oxigenada,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol yodado,Alcohol en gel","Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel","Con menor frecuencia,Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses,Una vez al año,Una vez cada 2 o 3 meses,Una vez al mes","Con menor frecuencia,Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses,2. Una vez a la semana"
68.0,No,Sí,26.0,25 a 35 años,NSE C2,C2,Femenino,San Juan de Lurigancho,Su casa,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,4. Satisfecho,Que el producto sea de calidad,Que el producto me genere confianza,Que tenga trayectoria,Que no dañe la piel,Que sea la que siempre compran en mi casa,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que esté en promoción/oferta,Que se venda en puntos de venta de confianza,No precisa,,,,9,,,,,,,,,,,,Ninguno,Ninguno [NN,Cualquiera,,,,Ninguno,,,,Ninguno,,,,Cualquiera,,,,Otras marcas,,,,,No precisa,,,,No precisa,,,,,,Otras marcas,No precisa,,,Otras marcas,,,,No precisa,,,,No precisa,,,,,,No precisa,,,,Sí,Agua oxigenada,Alcohol puro 96°,Alcohol yodado,Alcohol en gel,,,,,Agua oxigenada,Alcohol puro 96°,Alcohol yodado,Alcohol en gel,,,,,Alkomed,,,No precisa,Centrolab,,Glend,,,,,,,120.0,,1000.0,60.0,1000.0,,,,,1,,2,1,1,,,79,1.0,1.29761447,1.11111111,"Spray,Botella,Con chupón",Spray,,Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Desinfección de objetos y superficies",,,"Botica/Farmacia de mi barrio,Mercado","Porque tiene buen aroma / se siente el alcohol,Porque demora en evaporarse",Ninguna,"Alkofarma,Casa Grande,Boreal",Casa Grande,,"Alcohol,Algodón","Agua oxigenada,Alcohol puro 96°,Alcohol yodado,Alcohol en gel","Alcohol puro 96°,Alcohol en gel","Una vez cada 6 meses,Una vez al año,Con menor frecuencia,Nunca","Una vez al año,Una vez cada 15 días,Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses"
69.0,No,Sí,42.0,36 a 45 años,NSE D,D,Masculino,Puente Piedra,Trabajador independiente,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,5. Muy satisfecho,Que tenga todas las certificaciones de calidad,Que tenga un empaque práctico,Que esté en promoción/oferta,Que no dañe la piel,Que tenga trayectoria,Que sea fácil de encontrar en distintos establecimientos,Que sea la que siempre compran en mi casa,Que el producto me genere confianza,Sanakol,,,,,,,,,10: Definitivamente lo recomendaría,,,,,,La que tenga el vendedor,Sanakol,Ninguno [NN,Otras marcas,,,,Otras marcas,,,,No precisa,,,,Otras marcas,,,,Otras marcas,,,,,Otras marcas,,,,Otras marcas,,,,,,Otras marcas,,,,Otras marcas,,,,Otras marcas,,,,Otras marcas,,,,,,Otras marcas,,,,No,Agua oxigenada,Alcohol puro 96°,Alcohol en gel,Vinagre Bully (Aromático),,,,,Agua oxigenada,Alcohol puro 96°,Alcohol en gel,Vinagre Bully (Aromático),,,,,Killafar,,,Sanakol,,,Aval,,,Alkomed,,,,120.0,,1000.0,,380.0,120.0,,,,1,,1,,1,2,,80,1.0,0.84059992,0.86363636,"Spray,Botella,Con chupón",Spray,,"Desinfección de manos,Desinfección de objetos y superficies",Desinfección de manos,Desinfección de manos,,,"Botica/Farmacia de mi barrio,Botica/Farmacia de cadena","Porque desinfecta (mata gérmenes y bacterias),Porque no irrita la piel,Porque es económico",Ninguna,Sanakol,Sanakol,,,"Agua oxigenada,Alcohol puro 96°,Alcohol en gel,Vinagre Bully (Aromático)","Alcohol puro 96°,Alcohol en gel","Una vez al mes,Una vez cada 6 meses,Una vez cada 6 meses","Una vez al mes,Una vez cada 15 días,Una vez al mes,Una vez al mes"
70.0,No,Sí,49.0,46 a 55 años,NSE C1,C1,Masculino,El Agustino,Trabajador independiente,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,4. Satisfecho,Que tenga un empaque práctico,Que tenga un precio accesible,Que no dañe la piel,Que se venda en puntos de venta de confianza,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que sea la que siempre compran en mi casa,Que tenga trayectoria,Que esté en promoción/oferta,Casa Grande,8,,,6,,,,,,,,,,,Alkofarma,Alkofarma,Ninguno [NN,Alkofarma,,,,Alkofarma,,,,Otras marcas,,,,Otras marcas,,,,Cualquiera,,,,,Alkofarma,,,,No precisa,,,,,,Alkofarma,,,,Alkofarma,,,,No precisa,,,,Alkofarma,,,,,,Alkofarma,,,,Sí,Alcohol medicinal 70%,Alcohol puro 96°,,,,,,,Alcohol puro 96°,,,,,,,,,,,Alkofarma,,,,,,,,,,,,0.0,,,,,,,,,2,,,,,81,1.0,1.29761447,1.11111111,"Spray,Botella,Con pulverizador","Spray,Botella,Con pulverizador",,Desinfección de manos,Curar heridas,,Desinfección de objetos y superficies,,"Botica/Farmacia de mi barrio,Mercado","Porque desinfecta (mata gérmenes y bacterias),Porque me protege contra el COVID",Alkofarma,"Alkofarma,Casa Grande","Alkofarma,Casa Grande",,Alcohol,"Alcohol medicinal 70%,Alcohol puro 96°","Alcohol medicinal 70%,Alcohol puro 96°","Con menor frecuencia,Nunca","Una vez al mes,Una vez cada 2 o 3 meses"
71.0,No,Sí,30.0,25 a 35 años,NSE D,D,Masculino,Comas,Trabajador independiente,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,4. Satisfecho,Que se venda en puntos de venta de confianza,Que no dañe la piel,Que tenga todas las certificaciones de calidad,Que el producto me genere confianza,Que tenga un empaque práctico,Que esté en promoción/oferta,Que la marca sea prestigiosa,Que tenga trayectoria,Erza,,,9,,,,,,,,,9,,,Hersil,Erza,Ninguno [NN,Erza,,,,Erza,,,,Erza,,,,Erza,,,,No precisa,,,,,Erza,,,,No precisa,,,,,,Erza,,,,Erza,,,,Erza,,,,Erza,,,,,,Erza,,,,No,Alcohol puro 96°,Alcohol en gel,,,,,,,Alcohol puro 96°,,,,,,,,,,,Alkofarma,,,,,,,,,,,,120.0,,,,,,,,,1,,,,,82,1.0,0.84059992,0.86363636,Botella,Spray,,"Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Desinfección de objetos y superficies",,,,Botica/Farmacia de mi barrio,Porque es puro,Ninguna,"Erza,Hersil","Erza,Hersil",,,"Alcohol puro 96°,Alcohol en gel",Alcohol en gel,"Una vez al año,Nunca","2 o 3 veces por semana,Una vez al mes"
72.0,No,Sí,53.0,46 a 55 años,NSE A1,A1,Femenino,San Borja,Trabajador independiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,5. Muy satisfecho,Que tenga un empaque práctico,Que esté en promoción/oferta,Que el producto sea de calidad,Que no dañe la piel,Que la marca sea prestigiosa,Que sea fácil de encontrar en distintos establecimientos,Que se venda en puntos de venta de confianza,Que tenga todas las certificaciones de calidad,Erza,,,9,,,,9,9,,9,,8,,,Purol,Erza,Ninguno [NN,Erza,Boreal,,,Erza,,,,Erza,Portugal,,,Erza,Boreal,Portugal,,Ninguno,,,,,Erza,,,,Boreal,Portugal,,,,,Erza,Portugal,,,Erza,Boreal,Portugal,,Erza,Boreal,Portugal,,Erza,Boreal,Portugal,,,,Portugal,,,,No,Agua oxigenada,Alcohol puro 96°,Alcohol en gel,,,,,,Agua oxigenada,Alcohol puro 96°,Alcohol en gel,,,,,,Aky,,,Yglesias Loayza,,,Aval,,,,,,,120.0,,1000.0,,120.0,,,,,1,,1,,1,,,83,1.0,0.71410697,0.86666667,"Dispensador,Spray,Botella","Dispensador,Botella",Desinfección de objetos y superficies,Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies,Desinfección de ropa",,,,"Botica/Farmacia de cadena,Bodega","Porque no irrita la piel,Porque puedo desinfectar objetos",Purol,"Erza,Boreal,Portugal,Purol,Hersil","Erza,Boreal,Portugal,Purol,Hersil",,,"Agua oxigenada,Alcohol puro 96°,Alcohol en gel","Alcohol puro 96°,Alcohol en gel","Una vez al año,Una vez al año,Una vez al mes","Una vez cada 15 días,Una vez al mes,2. Una vez a la semana"
73.0,No,Sí,24.0,18 a 24 años,NSE D,D,Femenino,Comas,Trabajador independiente,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de cadena,4. Satisfecho,Que tenga un empaque práctico,Que el producto sea de calidad,Que tenga un precio accesible,Que sea fácil de encontrar en distintos establecimientos,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que sea la que siempre compran en mi casa,Que esté en promoción/oferta,Que la marca sea prestigiosa,No precisa,,,,,,,,,,,,,,,,Ninguno,Ninguno [NN,No precisa,,,,Boreal,,,,No precisa,,,,No precisa,,,,Cualquiera,,,,,No precisa,,,,Ninguno,,,,,,No precisa,,,,No precisa,,,,No precisa,,,,Ninguno,,,,,,No precisa,,,,Sí,Bicarbonato de sodio,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel,,,,,Alcohol medicinal 70°,Alcohol puro 96°,Alcohol en gel,,,,,,,,Melvan,Camalar,,,Aval,,,,,,,,1000.0,1000.0,,380.0,,,,,,1,1,,1,,,84,1.0,0.84059992,0.86363636,"Dispensador,Spray,Botella,Con pulverizador",Spray,Desinfección de manos,Desinfección de manos,Curar heridas,,"Desinfección de objetos y superficies,Desinfección de ropa",,"Botica/Farmacia de mi barrio,Botica/Farmacia de cadena","Porque no irrita la piel,Porque no me genera alergia",Ninguna,Alkofarma,No precisa [NN,,No precisa,"Bicarbonato de sodio,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel","Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel","Una vez cada 6 meses,Una vez al año,Una vez al año,Una vez cada 6 meses","Una vez cada 2 o 3 meses,Una vez al mes,Una vez al mes,Una vez al mes"
74.0,No,Sí,45.0,36 a 45 años,NSE D,D,Femenino,Lima,Su casa,Sí,,,Supermercado,Botica/Farmacia de mi barrio,5. Muy satisfecho,Que sea la que siempre compran en mi casa,Que el producto sea de calidad,Que el producto me genere confianza,Que tenga todas las certificaciones de calidad,Que tenga un empaque práctico,Que la marca sea prestigiosa,Que no dañe la piel,Que tenga trayectoria,Alkofarma,9,6,,,,,,,,,,,,,Portugal,Alkofarma,Ninguno [NN,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,Portugal,,,Alkofarma,Jemfarma,,,,Alkofarma,Jemfarma,,,Alkofarma,,,,,,Portugal,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,,Alkofarma,,,,Sí,Bicarbonato de sodio,Agua azahar,Alcohol puro 96°,Alcohol en gel,,,,,Agua azahar,Alcohol puro 96°,Alcohol en gel,Vinagre Bully (Aromático),,,,D Leos,,,,Herba Natura,,,Tottus,,,No precisa,,,120.0,,,500.0,,200.0,120.0,,,2,,,1,,1,4,,85,1.0,0.77289029,0.93333333,"Dispensador,Spray,Botella",Spray,Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Desinfección de objetos y superficies",,,,"Botica/Farmacia de mi barrio,Supermercado",Porque es de 96%,Alkofarma,"Alkofarma,Jemfarma,Casa Grande,Hersil","Alkofarma,Jemfarma",,Alcohol,"Bicarbonato de sodio,Agua azahar,Alcohol puro 96°,Alcohol en gel","Alcohol puro 96°,Alcohol en gel","Una vez al mes,Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses","Una vez cada 15 días,Una vez cada 15 días,Una vez al mes,Una vez cada 15 días"
75.0,No,Sí,26.0,25 a 35 años,NSE A2,A2,Masculino,Lima,Trabajador independiente,Sí,,,Bodega,Bodega,5. Muy satisfecho,Que tenga un precio accesible,Que no dañe la piel,Que el producto sea de calidad,Que se venda en puntos de venta de confianza,Que tenga trayectoria,Que tenga un empaque práctico,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que esté en promoción/oferta,Casa Grande,8,,,10: Definitivamente lo recomendaría,,,,,,,,,,9,La que tenga el vendedor,Casa Grande,Ninguno [NN,No precisa,,,,No precisa,,,,Otras marcas,,,,Otras marcas,,,,No precisa,,,,,Otras marcas,,,,No precisa,,,,,,No precisa,,,,Otras marcas,,,,Otras marcas,,,,Otras marcas,,,,,,Otras marcas,,,,Sí,Alcohol puro 96°,Alcohol en gel,,,,,,,Alcohol puro 96°,Alcohol en gel,,,,,,,,,,Casa Grande,,,Instant Clean,,,,,,,,,900.0,,1000.0,,,,,,,1,,1,,,86,1.0,0.71410697,0.86666667,"Dispensador,Botella",Spray,Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies,Desinfección de vehículos",Lo uso para llenar el spray o algún frasco,,,,"Botica/Farmacia de mi barrio,Bodega","Porque desinfecta (mata gérmenes y bacterias),Porque es económico","Casa Grande,Instant Clean","Alkofarma,Casa Grande,Instant Clean","Alkofarma,Casa Grande,Instant Clean",,Alcohol,"Alcohol puro 96°,Alcohol en gel",Alcohol puro 96°,"Una vez cada 2 o 3 meses,Una vez cada 6 meses","2. Una vez a la semana,2. Una vez a la semana"
76.0,No,Sí,45.0,36 a 45 años,NSE D,D,Femenino,Los Olivos,Trabajador independiente,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que el producto sea de calidad,Que tenga un empaque práctico,Que tenga todas las certificaciones de calidad,Que no dañe la piel,Que tenga un precio accesible,Que esté en promoción/oferta,Que sea fácil de encontrar en distintos establecimientos,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Alkofarma,10: Definitivamente lo recomendaría,,,,,,,,,,,,,,Purol,Alkofarma,Ninguno [NN,Alkofarma,,,,Alkofarma,,,,No precisa,,,,Alkofarma,,,,Alkofarma,,,,,Alkofarma,,,,No precisa,,,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,Otras marcas,,,,,Alkofarma,,,,Sí,Agua azahar,Alcohol medicinal 70%,,,,,,,Agua azahar,Alcohol medicinal 70°,,,,,,Jenfarma,,,Alkofarma,,,,,,,,,,500.0,,120.0,,,,,,,1,,6,,,,,,87,1.0,0.84059992,0.86363636,"Spray,Botella","Spray,Botella",,Desinfección de manos,"Desinfección de manos,Desinfección de objetos y superficies",,,,Botica/Farmacia de cadena,"Porque no irrita la piel,Porque tiene buen aroma / se siente el alcohol",Alkofarma,"Alkofarma,Purol",Alkofarma,,"Alcohol,Agua de azahar,Agua oxigenada","Agua azahar,Alcohol medicinal 70%","Agua azahar,Alcohol medicinal 70%","Una vez al año,Una vez al mes","2. Una vez a la semana,2. Una vez a la semana"
77.0,No,Sí,28.0,25 a 35 años,NSE D,D,Femenino,Lima,Trabajador independiente,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,4. Satisfecho,Que la marca sea prestigiosa,Que el producto sea de calidad,Que no dañe la piel,Que tenga todas las certificaciones de calidad,Que tenga un empaque práctico,Que sea fácil de encontrar en distintos establecimientos,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que se venda en puntos de venta de confianza,Alkofarma,9,,,,,,,,,,,,,,Don Emilio,Alkofarma,Ninguno [NN,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,Alkofarma,,,,Alkofarma,,,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,,Alkofarma,,,,Sí,Bicarbonato de sodio,Alcohol medicinal 70%,Alcohol en gel,,,,,,Alcohol medicinal 70°,,,,,,,,,,Alkofarma,,,,,,,,,,,,1000.0,,,,,,,,,2,,,,,,88,1.0,0.77289029,0.93333333,"Spray,Botella,Con chupón","Spray,Con chupón",,"Desinfección de manos,Desinfección de objetos y superficies","Desinfección de objetos y superficies,Curar heridas",Desinfección de manos,,,"Botica/Farmacia de mi barrio,Botica/Farmacia de cadena",Porque la presentación es la adecuada,Alkofarma,"Alkofarma,Don Emilio",Alkofarma,,Alcohol,"Bicarbonato de sodio,Alcohol medicinal 70%,Alcohol en gel","Alcohol medicinal 70%,Alcohol en gel","Una vez cada 15 días,Una vez al mes,Una vez cada 2 o 3 meses","Una vez cada 15 días,2 o 3 veces por semana,Una vez cada 15 días"
78.0,No,Sí,32.0,25 a 35 años,NSE D,D,Femenino,San Juan de Lurigancho,Trabajador independiente,Sí,,,Farmacias dentro de supermercados,Bodega,4. Satisfecho,Que la marca sea prestigiosa,Que tenga un precio accesible,Que el producto sea de calidad,Que no dañe la piel,Que sea fácil de encontrar en distintos establecimientos,Que sea la que siempre compran en mi casa,Que tenga trayectoria,Que esté en promoción/oferta,Casa Grande,,,,8,,,,6,,,,,,,Portugal,Casa Grande,Ninguno [NN,Cualquiera,,,,Portugal,,,,Cualquiera,,,,Cualquiera,,,,Cualquiera,,,,,Portugal,,,,Portugal,,,,,,Portugal,,,,Portugal,,,,Portugal,,,,Portugal,,,,,,Portugal,,,,No,Alcohol puro 96°,Alcohol yodado,,,,,,,Alcohol puro 96°,Alcohol yodado,,,,,,,,,,Casa Grande,Alkomed,,,,,,,,,,,900.0,120.0,,,,,,,,1,2,,,,89,1.0,0.94332407,0.95454545,Botella,Dispensador,"Desinfección de manos,Desinfección de objetos y superficies",,Lo uso para llenar el spray o algún frasco,,,,Bodega,Porque es económico,Casa Grande,"Casa Grande,Boreal,Portugal,Hersil","Casa Grande,Portugal",,,"Alcohol puro 96°,Alcohol yodado",Alcohol puro 96°,"Una vez al año,Una vez al año","2. Una vez a la semana,Una vez cada 6 meses"
79.0,No,Sí,38.0,46 a 55 años,NSE B1,B1,Femenino,La Molina,Su casa,Sí,,,Botica/Farmacia de cadena,Botica/Farmacia de cadena,4. Satisfecho,Que el producto sea de calidad,Que se venda en puntos de venta de confianza,Que tenga un empaque práctico,Que tenga un precio accesible,Que tenga trayectoria,Que la marca sea prestigiosa,Que esté en promoción/oferta,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Alkofarma,10: Definitivamente lo recomendaría,,,,,,,,,,,,,9,Inkafarma,Alkofarma,Magistral,Alkofarma,Boreal,,,Alkofarma,Boreal,,,Alkofarma,Boreal,,,Alkofarma,,,,Alkofarma,,,,,Alkofarma,Boreal,,,Alkofarma,,,,,,Alkofarma,Boreal,,,Alkofarma,Boreal,,,Alkofarma,Boreal,,,Alkofarma,Boreal,,,,,Alkofarma,Boreal,,,Sí,Bicarbonato de sodio,Agua azahar,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel,Vinagre Bully (Aromático),,,Bicarbonato de sodio,Agua azahar,Alcohol puro 96°,,,,Alkofarma,Alkofarma,,,,Inkafarma,,,,,,,,100.0,1000.0,,,900.0,,,,,1,1,,,1,,,,,90,1.0,0.84784707,1.05555556,"Dispensador,Spray,Botella,Con chupón,Con pulverizador","Dispensador,Spray",Desinfección de objetos y superficies,Desinfección de manos,Desinfección de objetos y superficies,Desinfección de manos,Desinfección de objetos y superficies,,Botica/Farmacia de cadena,"Porque es de calidad,Porque demora en evaporarse","Sanakol,Alkofarma","Alkofarma,Boreal,Aval,Sanakol","Alkofarma,Aval",Porque no tenia buen aroma/su olor no es intenso,Alcohol,"Bicarbonato de sodio,Agua azahar,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel,Vinagre Bully (Aromático)","Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel","Una vez al mes,Una vez cada 6 meses,Una vez cada 2 o 3 meses,Una vez cada 2 o 3 meses,Una vez al año,Una vez al año","Una vez cada 15 días,Una vez al mes,2. Una vez a la semana,2. Una vez a la semana,Una vez cada 15 días,Una vez al mes"
80.0,No,Sí,40.0,36 a 45 años,NSE D,D,Masculino,Lima,Trabajador independiente,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,4. Satisfecho,Que la marca sea prestigiosa,Que esté en promoción/oferta,Que no dañe la piel,Que el producto sea de calidad,Que tenga un empaque práctico,Que tenga un precio accesible,Que sea fácil de encontrar en distintos establecimientos,Que tenga trayectoria,Alkofarma,10: Definitivamente lo recomendaría,,,,,,,,,,,,,,Ninguno,Alkofarma,Ninguno [NN,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,Alkofarma,,,,Alkofarma,,,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,Alkofarma,,,,,,Alkofarma,,,,Sí,Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel,,,,,,Alcohol medicinal 70°,,,,,,,,,,Acofarma,,,,,,,,,,,,1000.0,,,,,,,,,1,,,,,,91,1.0,0.77289029,0.93333333,"Spray,Botella",Spray,,"Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Desinfección de objetos y superficies",,,,Botica/Farmacia de mi barrio,"Porque no irrita la piel,Porque es puro",Alkofarma,"Alkofarma,Portugal",Alkofarma,,Alcohol,"Alcohol medicinal 70%,Alcohol puro 96°,Alcohol en gel","Alcohol medicinal 70%,Alcohol puro 96°","Una vez cada 2 o 3 meses,Una vez cada 6 meses,Una vez cada 2 o 3 meses","Una vez cada 15 días,Una vez al mes,2 o 3 veces por semana"
81.0,No,Sí,39.0,36 a 45 años,NSE C1,C1,Femenino,San Martín de Porres,Trabajador independiente,Sí,,,(no responde),(no responde),4. Satisfecho,Que tenga un empaque práctico,Que tenga un precio accesible,Que el producto sea de calidad,Que no dañe la piel,Que tenga trayectoria,Que sea la que me recomiende el vendedor/Boticario/farmacéut,Que la marca sea prestigiosa,Que esté en promoción/oferta,Casa Grande,,,,10: Definitivamente lo recomendaría,,,,,,,,,,,Ninguno,Casa Grande,Ninguno [NN,Ninguno,,,,Jemfarma,,,,No precisa,,,,Otras marcas,,,,No precisa,,,,,No precisa,,,,No precisa,,,,,,No precisa,,,,Otras marcas,,,,Otras marcas,,,,Ninguno,,,,,,No precisa,,,,No,Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°,,,,,,Alcohol puro 96°,,,,,,,,,,,Casa Grande,,,,,,,,,,,,1000.0,,,,,,,,,1,,,,,92,1.0,1.09246215,1.03703704,"Spray,Botella,Con pulverizador",Spray,,"Desinfección de manos,Desinfección de objetos y superficies","Desinfección de manos,Desinfección de objetos y superficies",,Desinfección del cuerpo / personas que entran a la casa,,Tiendas de artículos de aseo,"Porque desinfecta (mata gérmenes y bacterias),Porque tiene buen aroma / se siente el alcohol","Casa Grande,No precisa","Casa Grande,Purol",Casa Grande,,,"Bicarbonato de sodio,Agua oxigenada,Alcohol puro 96°","Bicarbonato de sodio,Alcohol puro 96°","Una vez al mes,Una vez cada 2 o 3 meses,Una vez al año","2. Una vez a la semana,Una vez cada 2 o 3 meses,Una vez al mes"
82.0,No,Sí,62.0,56 a 65 años,NSE C1,C1,Masculino,Lima,Trabajador independiente,Sí,,,Botica/Farmacia de mi barrio,Botica/Farmacia de mi barrio,4. Satisfecho,Que tenga un precio accesible,Que el producto sea de calidad,Que sea la que siempre compran en mi casa,Que sea fácil de encontrar en distintos establecimientos,Que tenga todas las certificaciones de calidad,Que tenga trayectoria,Que se venda en puntos de venta de confianza,Que sea la que me recomiende el vendedor/Boticario/farmacéut,No precisa,,,,,,,,,,,,,,,,Ninguno,Ninguno [NN,No precisa,,,,No precisa,,,,Cualquiera,,,,Cualquiera,,,,No precisa,,,,,Cualquiera,,,,Cualquiera,,,,,,No precisa,,,,No precisa,,,,Cualquiera,,,,No precisa,,,,,,Cualquiera,,,,No,Alcohol en gel,,,,,,,,Alcohol en gel,,,,,,,,,,,,,,Instant Clean,,,,,,,,,,,1000.0,,,,,,,,,1,,,93,1.0,1.18347052,1.23076923,"Dispensador,Spray,Botella,Con pulverizador","Dispensador,Con pulverizador",Desinfección de manos,Desinfección de objetos y superficies,Lo uso para llenar el spray o algún frasco,,Desinfección del cuerpo / personas que entran a la casa,,Botica/Farmacia de mi barrio,"Porque desinfecta la piel,Porque desinfecta (mata gérmenes y bacterias),Porque es económico",Instant Clean,Instant Clean,No precisa [NN,,,Alcohol en gel,Alcohol en gel,Una vez cada 6 meses,Una vez al mes
